symbol,entry_time,direction,entry_signal,entry_real,sl_original,tp1,contracts,pnl_neto,exit_events,exit_type,explanation,score
BTCUSDT,2026-03-29T12:00:00+00:00,bearish,66797.37,66784.010526,67121.98602,66310.44597,0.004620844035978243,-0.3086,"['be_50%@3037', {'type': 'sl_full', 'contracts': np.float64(0.004620844035978243), 'price': np.float64(66784.010526), 'pnl': np.float64(0.0), 'comm': np.float64(0.15429924836888764)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=45.45636602072883 WR=-38.91724166088254 ST=bullish Veto=False,100
BTCUSDT,2026-04-15T18:00:00+00:00,bullish,74242.54,74257.388508,73585.92322,75227.46516999998,0.0022773877672589192,1.1558,"['be_50%@8010', {'type': 'tp1', 'contracts': np.float64(0.0013664326603553515), 'price': np.float64(75227.46516999998), 'pnl': np.float64(1.3255444340052884), 'comm': np.float64(0.05139663268201631)}, {'type': 'sl_rem', 'contracts': np.float64(0.0009109551069035678), 'price': np.float64(74257.38850799999), 'pnl': np.float64(0.0), 'comm': np.float64(0.03382257364334244)}]",tp1_partial_then_sl,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=62.82741893065719 WR=-8.523872477840248 ST=bearish Veto=False,94
BTCUSDT,2026-04-25T21:00:00+00:00,bullish,77507.78,77523.281556,77039.40242,78210.34637,0.003229675413696159,2.8547,"['be_50%@11006', {'type': 'tp1', 'contracts': np.float64(0.0019378052482176952), 'price': np.float64(78210.34637), 'pnl': np.float64(1.3313978024349098), 'comm': np.float64(0.07577820983035488)}, {'type': 'tp2', 'contracts': np.float64(0.0012918701654784637), 'price': np.float64(78897.411184), 'pnl': np.float64(1.7751970699132136), 'comm': np.float64(0.05096260582104824)}]",tp2_reached,Fib=0.75-1.0 Sig=LONG Phase=compressing CI=44.02119031917131 WR=-6.733752620544097 ST=bullish Veto=False,95
BTCUSDT,2026-05-16T23:00:00+00:00,bearish,78156.68,78141.048664,78464.94666,77694.28000999999,0.0050460453703611245,-0.3943,"['be_50%@17003', {'type': 'sl_full', 'contracts': np.float64(0.0050460453703611245), 'price': np.float64(78141.048664), 'pnl': np.float64(0.0), 'comm': np.float64(0.19715163842307026)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=63.15973352740503 WR=-99.99302309356398 ST=bearish Veto=False,100
BTCUSDT,2026-06-07T20:00:00+00:00,bullish,61495.41,61507.709082,61061.632,62146.07700000001,0.0017861821062582898,1.4857,"['be_50%@23284', {'type': 'tp1', 'contracts': np.float64(0.001071709263754974), 'price': np.float64(62146.07700000001), 'pnl': np.float64(0.6841448114045872), 'comm': np.float64(0.033301263213464966)}, {'type': 'tp2', 'contracts': np.float64(0.000714472842503316), 'price': np.float64(62784.44491800002), 'pnl': np.float64(0.9121930818727829), 'comm': np.float64(0.022428890412778173)}]",tp2_reached,Fib=0.0-0.25 Sig=LONG Phase=compressing CI=41.47954971033203 WR=-67.56753941969178 ST=bearish Veto=False,100
ETHUSDT,2026-04-02T21:00:00+00:00,bearish,2066.42,2066.006716,2078.3083199999996,2045.0210240000008,0.06611102913202485,0.6963,"['be_50%@4301', {'type': 'tp1', 'contracts': np.float64(0.03966661747921491), 'price': np.float64(2045.0210240000008), 'pnl': np.float64(0.8324314171006014), 'comm': np.float64(0.04055953334798021)}, {'type': 'sl_rem', 'contracts': np.float64(0.026444411652809943), 'price': np.float64(2066.0067160000003), 'pnl': np.float64(0.0), 'comm': np.float64(0.027317166037687007)}]",tp1_partial_then_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=50.113360912039404 WR=-59.0839694656476 ST=bullish Veto=False,100
ETHUSDT,2026-04-02T23:00:00+00:00,bearish,2059.95,2059.53801,2075.75322,2031.5042039999994,0.05006391313735102,-0.1031,"['be_50%@4341', {'type': 'sl_full', 'contracts': np.float64(0.05006391313735102), 'price': np.float64(2059.5380099999998), 'pnl': np.float64(0.0), 'comm': np.float64(0.051554266017856384)}]",full_sl,Fib=0.25-0.5 Sig=SHORT Phase=compressing CI=57.34660282606354 WR=-43.77192982456313 ST=bearish Veto=False,91
ETHUSDT,2026-04-03T04:00:00+00:00,bullish,2055.49,2055.901098,2036.57868,2089.5303759999993,0.0835899048168192,-0.1719,"['be_50%@4411', {'type': 'sl_full', 'contracts': np.float64(0.0835899048168192), 'price': np.float64(2055.901098), 'pnl': np.float64(0.0), 'comm': np.float64(0.08592628854730704)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=57.57670035275299 WR=-23.47354138398974 ST=bearish Veto=False,95
ETHUSDT,2026-04-03T07:00:00+00:00,bullish,2063.15,2063.56263,2043.2552999999998,2098.9604600000007,0.07932854730676729,-0.1637,"['be_50%@4470', {'type': 'sl_full', 'contracts': np.float64(0.07932854730676729), 'price': np.float64(2063.56263), 'pnl': np.float64(0.0), 'comm': np.float64(0.08184971285721607)}]",full_sl,Fib=0.25-0.5 Sig=LONG Phase=compressing CI=49.77306120904893 WR=-29.750644883920927 ST=bearish Veto=False,95
ETHUSDT,2026-04-24T01:00:00+00:00,bearish,2327.39,2326.924522,2342.175,2300.776999999999,0.05328921740677093,0.7124,"['be_50%@10408', {'type': 'tp1', 'contracts': np.float64(0.03197353044406256), 'price': np.float64(2300.776999999999), 'pnl': np.float64(0.8360285907038167), 'comm': np.float64(0.036781981727249446)}, {'type': 'sl_rem', 'contracts': np.float64(0.02131568696270837), 'price': np.float64(2326.924522), 'pnl': np.float64(0.0), 'comm': np.float64(0.024799997348400906)}]",tp1_partial_then_sl,Fib=0.5-0.75 Sig=SHORT Phase=compressing CI=63.36442812282665 WR=-93.43807763401085 ST=bearish Veto=False,100
